N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
10101_1,{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1},{#1}
10101_10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Ok,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ĐƯỢC RỒI
10101_11,"Test fonctions
sous contrôle","التحكم في الفحص
الوظائف","Проверка на
основни функции","检查
控制功能","Probíhá
test funkcí","Tjek kontrol
Funktioner","Selbsttest
laufend","Τεστ λειτουργιών
ελέγχου","Vehicle Checks
in Progress","Test funciones
del vehículo","Verificando
func. de control","Kontrollin
juhtfunktsioone","کنترل
بررسی عملکردهای","Testitoiminnot
käynnissä","בודק
פונקציות בקרה","नियंत्रण प्रकार्यों
की जांच","Kontrola
sistema vozila","Funkciók ellen-
őrzés alatt","Periksa Kend.
Berlangsung","Test funzioni
sotto controllo","コントロ機能
点検中","차량 시스템을
점검 중입니다","Tikrinti kontr.
funkcijas","Kontroles funkc.
pārbaude","Test
systemen","Kontrollsjekk
Funksjoner","Test systemów
pokładowych","Teste de funções
em curso","Teste de funções
em curso","Verificare
funcţii control","Проверка
функций","Prebieha
test funkcií","Samokontrola
funkcij","Kontr. Automjeti
n","Provera funkcija
upravljanja","Verifierar test
funktioner","Fonksiyon testi
kontrolde","Перевірка ф-цій
керування","Đang Kiểm tra
Phương tiện"
10101_12,"Injection
à contrôler",تحقق من الحقن,"Провери горивна
система","检查
发动机系统","Zkontrolovat
vstřikování","Tjek
indsprøjtning","Einspritzung
prüfen","Ελέγξτε σύστημα
ψεκασμού","Check
injection","Revisar
la inyección","Verificar
inyección","Kontrollige
sissepritset","بررسی
سوخت‌رسانی","Tarkista
suihkutus","בדוק
הזרקה","इंजेक्शन की
जांच करें","Provjerite
ubrizgavanje","Ellenőriztesse a
befecskendezést","Periksa
Kendaraan","Iniezione
controllare","インジェクション
点検","엔진제어 장치를
점검해 주십시오","Tikrinti
įpurškimą","Pārbaudiet
iesmidzināšanu","Controleer
inspuitsysteem","Kontroller
Insprutning","Skontroluj układ
wtrysku paliwa","Verificar
a injeção","Mandar verificar
a injecção","Verifică
injecţia","Проверьте
систему впрыска","Skontrolovať
vstrekovanie","Preverite
vbrizgavanje","Kontrollo
automjetin","Proveriti
ubrizgavanje","Kontrollera
Insprutning","Enjeksiyonu
kontrol ettirin","Перевірте сист.
впорскування","Kiểm tra
Phương tiện"
10101_13,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog,Error Prog
10101_18,"Antivol
à contrôler","تحقق من قفل
مانع السرقة","Провери заключ-
ването на волана","检查防盗
转向柱锁","Zkontrolovat
zámek volantu","Tjek tyveri-
sikringsratlås","Lenkradschloss
prüfen","Έλεγξε κλειδαριά
κολώνας τιμονιού","Check anti-theft
steering lock","Revisar
antirrobo","Verif antirrobo
colum direcc","Kontr. varguse
roolilukku","بررسی قفل فرمان
ضد سرقت","Tark varkausesto
ohjauslukko","בדוק מערכת נגד
גניבה - הגה נעול","स्टीयरिंग लॉक
नियंत्रित करना","Provjerite bravu
volana","Ellenőriztesse
az indításgátlót","Tandai kunci roda
kemudi anti-maling","Antifurto
controllare","ステアリング
ロックを点検","핸들잠김 기능을
점검해 주십시오","Tikrinti apsaug.
užraktą","Pārb. pretaizdz.
stūres bloķētāju","Controleer stuur
kolomgrendel","Kontroller
Rattlås","Skontroluj
blokadę kierown.","Verificar
anti-furto","Verificar
antirroubo","Verifică blocare
direcţie","Проверьте замок
рулевой колонки","Skontrolovať
zámok volantu","Preverite
varnostni sistem","Kontrollë
Timonin","Proveriti bravu
upravljača","Kontrollera
stöldskydd","Direksiyon kilit
kontrol ettirin","Перевірте замок
рульової колонки","Kiểm tra chống trộm
khóa tay lái"
10101_19T1,Unité: km/h,الوحدة: km/h,модул: km/h,单位：km/h,Jednotka: km/h,Enhed: km/h,Einheit: km/h,Μονάδα: km/h,Unit: km/h,Unidad: km/h,Unidad: km/h,Ühik: km/h,واحد: km/h,Yksikkö: km/h,יחידה: km/h,इकाई: km/h,Jedinica: km/h,Egység: km/h,Unit: km/h,Unità: km/h,ユニット：km/h,단위: km/h,Blokas: km/h,Vienība: km/h,Eenheid: km/h,Enhet: km/h,Jednostka: km/h,Unidade: km/h,Unidade: km/h,Unitate: km/h,Ед. изм: km/h,Jednotka : km/h,Enota: km/h,Nj: km/h,Jedinica: km/h,Enhet: km/h,Birim : km/h,Од. виміру: km/h,Đơn vị: km/h
10101_19T2,Unité: mph,الوحدة: mph,модул: mph,单位：mph,Jednotka: mph,Enhed: mph,Einheit: mph,Μονάδα: mph,Unit: mph,Unidad: mph,Unidad: mph,Ühik: mph,واحد: mph,Yksikkö: mph,יחידה: mph,इकाई: mph,Jedinica: mph,Egység: mph,Unit: mph,Unità: mph,ユニット：mph,단위: mph,Blokas: mph,Vienība: mph,Eenheid: mph,Enhet: mph,Jednostka: mph,Unidade: mph,Unidade: mph,Unitate: mph,Ед. изм: mph,Jednotka : mph,Enota: mph,Nj: mph,Jedinica: mph,Enhet: mph,Birim : mph,Од. виміру: mph,Đơn vị: mph
10101_2,{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3},{#3}
10101_20T1,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/h
