Id,fr Expected,fr Extracted,fr Result,ar Expected,ar Extracted,ar Result,bg Expected,bg Extracted,bg Result,chi Expected,chi Extracted,chi Result,cs Expected,cs Extracted,cs Result,da Expected,da Extracted,da Result,de Expected,de Extracted,de Result,el Expected,el Extracted,el Result,en Expected,en Extracted,en Result,es Expected,es Extracted,es Result,et Expected,et Extracted,et Result,fa Expected,fa Extracted,fa Result,fi Expected,fi Extracted,fi Result,he Expected,he Extracted,he Result,hi Expected,hi Extracted,hi Result,hr Expected,hr Extracted,hr Result,hu Expected,hu Extracted,hu Result,id Expected,id Extracted,id Result,it Expected,it Extracted,it Result,ja Expected,ja Extracted,ja Result,ko Expected,ko Extracted,ko Result,lt Expected,lt Extracted,lt Result,lv Expected,lv Extracted,lv Result,nl Expected,nl Extracted,nl Result,no Expected,no Extracted,no Result,pl Expected,pl Extracted,pl Result,pt Expected,pt Extracted,pt Result,ro Expected,ro Extracted,ro Result,ru Expected,ru Extracted,ru Result,sk Expected,sk Extracted,sk Result,sl Expected,sl Extracted,sl Result,sq Expected,sq Extracted,sq Result,sr Expected,sr Extracted,sr Result,sv Expected,sv Extracted,sv Result,tr Expected,tr Extracted,tr Result,uk Expected,uk Extracted,uk Result,vi Expected,vi Extracted,vi Result
10101_3,Panne électrique,$\square$ Panne électrique,PASS,عطل كهربائي,$\square$ Panne électrique,FAIL,Eлектр. повреда,$\square$ Panne électrique,FAIL,电气故障,$\square$ Panne électrique,FAIL,Elektro porucha,$\square$ Panne électrique,FAIL,Elektrisk fejl,$\square$ Panne électrique,FAIL,Elektr. Störung,$\square$ Panne électrique,FAIL,Ηλεκτρική βλάβη,$\square$ Panne électrique,FAIL,Electric System Failure,$\square$ Panne électrique,FAIL,Avería eléctrica Falla eléctrica,$\square$ Panne électrique,FAIL,Elektriline viga,$\square$ Panne électrique,FAIL,نقص الکتریکی,$\square$ Panne électrique,FAIL,Sähköhäiriö,$\square$ Panne électrique,FAIL,כשל במערכת החשמל,$\square$ Panne électrique,FAIL,बिजली की ख़राबी,$\square$ Panne électrique,FAIL,Električni kvar,$\square$ Panne électrique,FAIL,Elektromos hiba,$\square$ Panne électrique,FAIL,SINYAL: Sistem Listrik,$\square$ Panne électrique,FAIL,Guasto elettrico,$\square$ Panne électrique,FAIL,電気系統故障,$\square$ Panne électrique,FAIL,전기 시스템에 이상이 있습니다,$\square$ Panne électrique,FAIL,Elektros gedimas,$\square$ Panne électrique,FAIL,Elektriska kļūme,$\square$ Panne électrique,FAIL,Elektr. storing,$\square$ Panne électrique,FAIL,Elektrisk feil,$\square$ Panne électrique,FAIL,Usterka elektr.,$\square$ Panne électrique,FAIL,Pane elétrica Avaria elétrica,$\square$ Panne électrique,FAIL,Avarie electrică,$\square$ Panne électrique,FAIL,Неисп. эл. сист.,$\square$ Panne électrique,FAIL,Elektro porucha,$\square$ Panne électrique,FAIL,Električna okvara,$\square$ Panne électrique,FAIL,Dështimi Sistemi elektrik,$\square$ Panne électrique,FAIL,Električni kvar,$\square$ Panne électrique,FAIL,Elektriskt fel,$\square$ Panne électrique,FAIL,Elektrik arızası,$\square$ Panne électrique,FAIL,Електричний збій,$\square$ Panne électrique,FAIL,CẢNH BÁO: Hệ thống Điện,$\square$ Panne électrique,FAIL
10101_4,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1} {#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1} {#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP,{#1} {#1},dynamic input,SKIP
10101_5,Risque casse moteur,# Risque casse moteur,PASS,عطل في المحرك خطر,# Risque casse moteur,FAIL,Риск от повреда на двигателя,# Risque casse moteur,FAIL,发动机故障 警告,# Risque casse moteur,FAIL,Riziko zničení motoru,# Risque casse moteur,FAIL,Motorfejl fare,# Risque casse moteur,FAIL,Motor kann zerstört werden,# Risque casse moteur,FAIL,Κίνδυνος βλά- βης κινητήρα,# Risque casse moteur,FAIL,WARNING: Engine Failure Risk,# Risque casse moteur,FAIL,Riesgo rotura motor Peligro de falla del motor,# Risque casse moteur,FAIL,Mootori vea oht,# Risque casse moteur,FAIL,نقص موتور خطر,# Risque casse moteur,FAIL,Moottorihäiriö vaara,# Risque casse moteur,FAIL,סכנה כשל במנוע,# Risque casse moteur,FAIL,इंजन बंद होने का ख़तरा,# Risque casse moteur,FAIL,Oštečenje motora rizik,# Risque casse moteur,FAIL,Motor meghibáso- dás veszélye,# Risque casse moteur,FAIL,SINYAL: Risiko Kegagalan Mesin,# Risque casse moteur,FAIL,Rischio rottura motore,# Risque casse moteur,FAIL,エンジン不具合 危険,# Risque casse moteur,FAIL,엔진제어 장치에 이상이 있습니다,# Risque casse moteur,FAIL,Variklio gedimo pavojus,# Risque casse moteur,FAIL,Dzinēja kļūmes draudi,# Risque casse moteur,FAIL,Risico op motorschade,# Risque casse moteur,FAIL,Motorfeil fare,# Risque casse moteur,FAIL,Ryzyko awarii silnika,# Risque casse moteur,FAIL,Risco de falha do motor Perigo gripagem motor,# Risque casse moteur,FAIL,Pericol avarie motor,# Risque casse moteur,FAIL,Риск повреждения двигателя,# Risque casse moteur,FAIL,Riziko zničenia motora,# Risque casse moteur,FAIL,Nevarnost okvare motorja,# Risque casse moteur,FAIL,LAJM defekt motori,# Risque casse moteur,FAIL,Opasnost od otkaza motora,# Risque casse moteur,FAIL,VARNING Motorfel,# Risque casse moteur,FAIL,Motorda hasar riski,# Risque casse moteur,FAIL,Небезпека збою двигуна,# Risque casse moteur,FAIL,CẢNH BÁO: Nguy cơ Hỏng Động cơ,# Risque casse moteur,FAIL
10101_7,Véhicule à contrôler,# Véhicule à contrôler,PASS,تحقق من السيارة,# Véhicule à contrôler,FAIL,Провери автомобила,# Véhicule à contrôler,FAIL,检查 车辆,# Véhicule à contrôler,FAIL,Zkontrolovat vozidlo,# Véhicule à contrôler,FAIL,Tjek bil,# Véhicule à contrôler,FAIL,Fahrzeug prüfen,# Véhicule à contrôler,FAIL,Ελέγξτε το όχημα,# Véhicule à contrôler,FAIL,Check vehicle,# Véhicule à contrôler,FAIL,Revisar vehículo Verificar vehículo,# Véhicule à contrôler,FAIL,Kontrollige masinat,# Véhicule à contrôler,FAIL,بررسی خودرو,# Véhicule à contrôler,FAIL,Tarkista auto,# Véhicule à contrôler,FAIL,בדוק את הרכב,# Véhicule à contrôler,FAIL,गाड़ी की जांच करें,# Véhicule à contrôler,FAIL,Provjerite vozilo,# Véhicule à contrôler,FAIL,Ellenőriztesse a gépkocsit,# Véhicule à contrôler,FAIL,Periksa Kunci Kemudi Anti-Curi,# Véhicule à contrôler,FAIL,Veicolo controllare,# Véhicule à contrôler,FAIL,車両 点検,# Véhicule à contrôler,FAIL,차량을 점검해 주십시오,# Véhicule à contrôler,FAIL,Tikrinti mašiną,# Véhicule à contrôler,FAIL,Pārbaudiet mašīnu,# Véhicule à contrôler,FAIL,Controleer voertuig,# Véhicule à contrôler,FAIL,Kontroller Bil,# Véhicule à contrôler,FAIL,Skontroluj samochód,# Véhicule à contrôler,FAIL,Verificar o veículo Mandar verificar o veículo,# Véhicule à contrôler,FAIL,Verifică vehicul,# Véhicule à contrôler,FAIL,Проверьте автомобиль,# Véhicule à contrôler,FAIL,Skontrolovať vozidlo,# Véhicule à contrôler,FAIL,Preverite vozilo,# Véhicule à contrôler,FAIL,Kontr. bllokimin kund,# Véhicule à contrôler,FAIL,Proveriti vozilo,# Véhicule à contrôler,FAIL,Kontrollera Bilen,# Véhicule à contrôler,FAIL,Aracı kontrol ettirin,# Véhicule à contrôler,FAIL,Перевірте авто,# Véhicule à contrôler,FAIL,K.tra Khóa Tay lái Chống Trộm,# Véhicule à contrôler,FAIL
10101_8,Véhicule à contrôler,# Véhicule à contrôler,PASS,تحقق من السيارة,# Véhicule à contrôler,FAIL,Провери автомобила,# Véhicule à contrôler,FAIL,检查 车辆,# Véhicule à contrôler,FAIL,Zkontrolovat vozidlo,# Véhicule à contrôler,FAIL,Tjek bil,# Véhicule à contrôler,FAIL,Fahrzeug prüfen,# Véhicule à contrôler,FAIL,Ελέγξτε το όχημα,# Véhicule à contrôler,FAIL,Check vehicle,# Véhicule à contrôler,FAIL,Revisar vehículo Verificar vehículo,# Véhicule à contrôler,FAIL,Kontrollige masinat,# Véhicule à contrôler,FAIL,بررسی خودرو,# Véhicule à contrôler,FAIL,Tarkista auto,# Véhicule à contrôler,FAIL,בדוק את הרכב,# Véhicule à contrôler,FAIL,गाड़ी की जांच करें,# Véhicule à contrôler,FAIL,Provjerite vozilo,# Véhicule à contrôler,FAIL,Ellenőriztesse a gépkocsit,# Véhicule à contrôler,FAIL,Periksa Kunci Kemudi Anti-Curi,# Véhicule à contrôler,FAIL,Veicolo controllare,# Véhicule à contrôler,FAIL,車両 点検,# Véhicule à contrôler,FAIL,차량을 점검해 주십시오,# Véhicule à contrôler,FAIL,Tikrinti mašiną,# Véhicule à contrôler,FAIL,Pārbaudiet mašīnu,# Véhicule à contrôler,FAIL,Controleer voertuig,# Véhicule à contrôler,FAIL,Kontroller Bil,# Véhicule à contrôler,FAIL,Skontroluj samochód,# Véhicule à contrôler,FAIL,Verificar o veículo Mandar verificar o veículo,# Véhicule à contrôler,FAIL,Verifică vehicul,# Véhicule à contrôler,FAIL,Проверьте автомобиль,# Véhicule à contrôler,FAIL,Skontrolovať vozidlo,# Véhicule à contrôler,FAIL,Preverite vozilo,# Véhicule à contrôler,FAIL,Kontr. bllokimin kund,# Véhicule à contrôler,FAIL,Proveriti vozilo,# Véhicule à contrôler,FAIL,Kontrollera Bilen,# Véhicule à contrôler,FAIL,Aracı kontrol ettirin,# Véhicule à contrôler,FAIL,Перевірте авто,# Véhicule à contrôler,FAIL,K.tra Khóa Tay lái Chống Trộm,# Véhicule à contrôler,FAIL
10101_9,Injection à contrôler,Injection à contrôler,PASS,تحقق من الحقن,Injection à contrôler,FAIL,Провери горивна система,Injection à contrôler,FAIL,检查 发动机系统,Injection à contrôler,FAIL,Zkontrolovat vstřikování,Injection à contrôler,FAIL,Tjek indsprøjtning,Injection à contrôler,FAIL,Einspritzung prüfen,Injection à contrôler,FAIL,Ελέγξτε σύστημα ψεκασμού,Injection à contrôler,FAIL,Check injection,Injection à contrôler,FAIL,Revisar la inyección Verificar inyección,Injection à contrôler,FAIL,Kontrollige sissepritset,Injection à contrôler,FAIL,بررسی سوخت‌رسانی,Injection à contrôler,FAIL,Tarkista suihkutus,Injection à contrôler,FAIL,בדוק הזרקה,Injection à contrôler,FAIL,इंजेक्शन की जांच करें,Injection à contrôler,FAIL,Provjerite ubrizgavanje,Injection à contrôler,FAIL,Ellenőriztesse a befecskendezést,Injection à contrôler,FAIL,Periksa Kendaraan,Injection à contrôler,FAIL,Iniezione controllare,Injection à contrôler,FAIL,インジェクション 点検,Injection à contrôler,FAIL,엔진제어 장치를 점검해 주십시오,Injection à contrôler,FAIL,Tikrinti įpurškimą,Injection à contrôler,FAIL,Pārbaudiet iesmidzināšanu,Injection à contrôler,FAIL,Controleer inspuitsysteem,Injection à contrôler,FAIL,Kontroller Insprutning,Injection à contrôler,FAIL,Skontroluj układ wtrysku paliwa,Injection à contrôler,FAIL,Verificar a injeção Mandar verificar a injecção,Injection à contrôler,FAIL,Verifică injecţia,Injection à contrôler,FAIL,Проверьте систему впрыска,Injection à contrôler,FAIL,Skontrolovať vstrekovanie,Injection à contrôler,FAIL,Preverite vbrizgavanje,Injection à contrôler,FAIL,Kontrollo automjetin,Injection à contrôler,FAIL,Proveriti ubrizgavanje,Injection à contrôler,FAIL,Kontrollera Insprutning,Injection à contrôler,FAIL,Enjeksiyonu kontrol ettirin,Injection à contrôler,FAIL,Перевірте сист. впорскування,Injection à contrôler,FAIL,Kiểm tra Phương tiện,Injection à contrôler,FAIL
10102_3,Niveau d'huile à réajuster,Niveau d'huile à réajuster,PASS,تنبيه: إملأ مستوى زيت المحرك,Niveau d'huile à réajuster,FAIL,Долей масло,Niveau d'huile à réajuster,FAIL,添加 机油,Niveau d'huile à réajuster,FAIL,Zkontrolovat hladinu oleje,Niveau d'huile à réajuster,FAIL,Efterfyldning oliestand,Niveau d'huile à réajuster,FAIL,Öl nachfüllen,Niveau d'huile à réajuster,FAIL,Συμπληρώστε τη στάθμη λαδιού,Niveau d'huile à réajuster,FAIL,WARNING: Top Up Engine Oil,Niveau d'huile à réajuster,FAIL,Rellenar nivel de aceite Completar nivel de aceite,Niveau d'huile à réajuster,FAIL,Lisage õli,Niveau d'huile à réajuster,FAIL,بالا آوردن سطح روغن,Niveau d'huile à réajuster,FAIL,Täytä öljytaso,Niveau d'huile à réajuster,FAIL,הוסף שמן,Niveau d'huile à réajuster,FAIL,तेल सही स्तर पर लाएं,Niveau d'huile à réajuster,FAIL,Podesite nivo ulja,Niveau d'huile à réajuster,FAIL,Állítsa be az olajszintet,Niveau d'huile à réajuster,FAIL,SINYAL: Isi Oli Mesin,Niveau d'huile à réajuster,FAIL,Livello olio rabboccare,Niveau d'huile à réajuster,FAIL,オイルを 補給してください,Niveau d'huile à réajuster,FAIL,엔진 오일을 보충해 주십시오,Niveau d'huile à réajuster,FAIL,Įpilti daugiau alyvos,Niveau d'huile à réajuster,FAIL,Uzpildiet eļļas līmeni,Niveau d'huile à réajuster,FAIL,Olie bijvullen,Niveau d'huile à réajuster,FAIL,Etterfyll oljenivå,Niveau d'huile à réajuster,FAIL,Uzupełnij poziom oleju,Niveau d'huile à réajuster,FAIL,Completar nível do óleo Ajustar nível de óleo,Niveau d'huile à réajuster,FAIL,Completează nivelul uleiului,Niveau d'huile à réajuster,FAIL,Проверьте уровень масла,Niveau d'huile à réajuster,FAIL,Skontrolovať hladinu oleja,Niveau d'huile à réajuster,FAIL,Dolijte olje,Niveau d'huile à réajuster,FAIL,LAJM p,Niveau d'huile à réajuster,FAIL,Ulje u motoru proveri-dopuni,Niveau d'huile à réajuster,FAIL,Fyll på motorolja,Niveau d'huile à réajuster,FAIL,Yağ seviyesini tamamlayınız,Niveau d'huile à réajuster,FAIL,Долийте масло,Niveau d'huile à réajuster,FAIL,CẢNH BÁO: Đổ Dầu Động cơ,Niveau d'huile à réajuster,FAIL
10107_1,Risque de verglas,101 Risque de verglas,PASS,خطر جليد,101 Risque de verglas,FAIL,Риск от заледяване,101 Risque de verglas,FAIL,冻雨 危险,101 Risque de verglas,FAIL,Riziko námrazy,101 Risque de verglas,FAIL,Risiko for sort is,101 Risque de verglas,FAIL,Glatteis- gefahr,101 Risque de verglas,FAIL,Κίνδυνος πάγου στο οδόστρωμα,101 Risque de verglas,FAIL,Risk of Black Ice,101 Risque de verglas,FAIL,Riesgo de hielo en calzada Riesgo de hielo en calzada,101 Risque de verglas,FAIL,Musta jää oht,101 Risque de verglas,FAIL,خطر یخ سیاه,101 Risque de verglas,FAIL,Mustan jään riski,101 Risque de verglas,FAIL,סכנת קרח על הכביש,101 Risque de verglas,FAIL,ब्लैक आइस का ख़तरा,101 Risque de verglas,FAIL,Opasnost poledice,101 Risque de verglas,FAIL,Jegesedési veszély,101 Risque de verglas,FAIL,Risiko Black Ice,101 Risque de verglas,FAIL,Rischio di ghiaccio,101 Risque de verglas,FAIL,路面凍結 危険,101 Risque de verglas,FAIL,빙판길을 주의하십시오,101 Risque de verglas,FAIL,Gresia plikledis,101 Risque de verglas,FAIL,Apledojuma risks,101 Risque de verglas,FAIL,Kans op gladheid,101 Risque de verglas,FAIL,Risiko for isføre,101 Risque de verglas,FAIL,Ryzyko oblodzenia,101 Risque de verglas,FAIL,Risco de gelo na pista Risco de gelo na estrada,101 Risque de verglas,FAIL,Risc producere polei,101 Risque de verglas,FAIL,Опасность гололедицы,101 Risque de verglas,FAIL,Riziko námrazy,101 Risque de verglas,FAIL,Nevarnost poledice,101 Risque de verglas,FAIL,Rrezik p akull t,101 Risque de verglas,FAIL,Pažnja moguća poledica,101 Risque de verglas,FAIL,Risk för halka,101 Risque de verglas,FAIL,Buzlanma riski,101 Risque de verglas,FAIL,Ризик ожеледиці,101 Risque de verglas,FAIL,Nguy cơ Đường Đóng băng,101 Risque de verglas,FAIL
10115_2,Vitesse limite dépassée,Vitesse limite dépassée,PASS,تجاوزت حد السرعة,Vitesse limite dépassée,FAIL,Надвишен лимит на скорост,Vitesse limite dépassée,FAIL,超过 速度限值,Vitesse limite dépassée,FAIL,Překročená omezená rychlost,Vitesse limite dépassée,FAIL,Overskredet hastighedsgrænse,Vitesse limite dépassée,FAIL,Geschw.begrenzg. überschritten,Vitesse limite dépassée,FAIL,Υπερβήκατε το όριο ταχύτητας,Vitesse limite dépassée,FAIL,Exceeded speed ​​limit,Vitesse limite dépassée,FAIL,Límite de veloci excedido Límite de Veloc. excedido,Vitesse limite dépassée,FAIL,Kiirusepiirang ületatud,Vitesse limite dépassée,FAIL,بیش از حد محدودیت سرعت,Vitesse limite dépassée,FAIL,Nopeusrajoitus ylitetty,Vitesse limite dépassée,FAIL,מגבלת מהירות נחצתה,Vitesse limite dépassée,FAIL,गति सीमा से अधिक,Vitesse limite dépassée,FAIL,Prekoračen limit brzine,Vitesse limite dépassée,FAIL,Sebességhatár túllépve,Vitesse limite dépassée,FAIL,Batas cepat lebih,Vitesse limite dépassée,FAIL,Superamento limite velocità,Vitesse limite dépassée,FAIL,制限速度 超過,Vitesse limite dépassée,FAIL,제한 속도 초과됨,Vitesse limite dépassée,FAIL,Viršytas greičio limitas,Vitesse limite dépassée,FAIL,Pārsniegts ātruma ierobež.,Vitesse limite dépassée,FAIL,Snelheidslimiet overschreden,Vitesse limite dépassée,FAIL,Hast. grense overskredet,Vitesse limite dépassée,FAIL,Limit prędkości przekroczony,Vitesse limite dépassée,FAIL,Velocidade Limite excedida Velocidade limit ultrapassada,Vitesse limite dépassée,FAIL,Limită de viteză depășită,Vitesse limite dépassée,FAIL,Превышен лимит скорости,Vitesse limite dépassée,FAIL,Prekročená rýchlosť,Vitesse limite dépassée,FAIL,Omejena hitrost Prekoračena,Vitesse limite dépassée,FAIL,Është tejkaluar kufizimi i shpej,Vitesse limite dépassée,FAIL,Limiter brzine prekoračenje,Vitesse limite dépassée,FAIL,Hastigheten Överskrids,Vitesse limite dépassée,FAIL,Hız limiti aşıldı,Vitesse limite dépassée,FAIL,Перевищено обмеж. швидкості,Vitesse limite dépassée,FAIL,Đã vượt quá giới hạn tốc độ,Vitesse limite dépassée,FAIL
10115_3,Temps de conduite dépassé,# Temps de conduite dépassé,PASS,تجاوزت وقت القيادة,# Temps de conduite dépassé,FAIL,Надвишено време за каране,# Temps de conduite dépassé,FAIL,超过 驾驶时间,# Temps de conduite dépassé,FAIL,Překročená doba řízení,# Temps de conduite dépassé,FAIL,Overskredet køretid,# Temps de conduite dépassé,FAIL,Fahrzeit überschritten,# Temps de conduite dépassé,FAIL,Υπερβήκατε το χρόνο οδήγησης,# Temps de conduite dépassé,FAIL,Exceeded driving time,# Temps de conduite dépassé,FAIL,Tiempo de conduc excedido Tiempo de manejo excedido,# Temps de conduite dépassé,FAIL,Sõiduaeg ületatud,# Temps de conduite dépassé,FAIL,بیش از حد مدت زمان رانندگی,# Temps de conduite dépassé,FAIL,Ajoaika ylitetty,# Temps de conduite dépassé,FAIL,זמן נהיגה זמן נהיגה,# Temps de conduite dépassé,FAIL,ड्राइविंग समय से अधिक,# Temps de conduite dépassé,FAIL,Prekoračeno vrijeme vožnje,# Temps de conduite dépassé,FAIL,Vezetési idő túllépve,# Temps de conduite dépassé,FAIL,waktu kemudi lebih,# Temps de conduite dépassé,FAIL,Superamento tempo di guida,# Temps de conduite dépassé,FAIL,運転時間 超過,# Temps de conduite dépassé,FAIL,운전 제한 시간 초과됨,# Temps de conduite dépassé,FAIL,Viršytas vairavimo laikas,# Temps de conduite dépassé,FAIL,Pārsniegts braukšanas laiks,# Temps de conduite dépassé,FAIL,Rijtijd overschreden,# Temps de conduite dépassé,FAIL,Kjøretid overskredet,# Temps de conduite dépassé,FAIL,Czas jazdy przekroczony,# Temps de conduite dépassé,FAIL,Tempo de Direção excedido Tempo de condução esgotad,# Temps de conduite dépassé,FAIL,Timp de condus depășit,# Temps de conduite dépassé,FAIL,Превышено время в пути,# Temps de conduite dépassé,FAIL,Prekročený čas jazdy,# Temps de conduite dépassé,FAIL,Čas vožnje Prekoračen,# Temps de conduite dépassé,FAIL,Është tejkaluar koha e vozitjes,# Temps de conduite dépassé,FAIL,Vreme vožnje prekoračeno,# Temps de conduite dépassé,FAIL,Din körtid Överskrids,# Temps de conduite dépassé,FAIL,Sürüş zamanı aşıldı,# Temps de conduite dépassé,FAIL,Час водіння перевищено,# Temps de conduite dépassé,FAIL,Đã quá thời gian lái xe,# Temps de conduite dépassé,FAIL
